Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
080723CS3,2008.0,Calcite Springs,547757.99,4972702.58,92.2,7.839,3.125e-06,0.00176498,5.371530886302595e-07,0.0002587876298339,0.0038781624500665,0.0003205228987177,0.0090649762727063,0.0009444487458425,0.002440536100035,0.000184088728348,0.0003444509386072,0.0002438815789473,0.0068760507757404,BDL,8.93572286744093e-06,BDL,0.0018824536747865,BDL,NM,NM,NM
080724Z,2008.0,Rabbit Creek,515014.62,4929818.59,85.8,5.238,NM,0.000370792,1.2533572068039392e-06,6.631066251980516e-05,0.0016228362183754,5.6867703789079386e-05,0.0011747587376149,0.0001503503059035,0.0001641691946325,BDL,BDL,9.874473684210526e-05,0.0004491748942172,BDL,BDL,BDL,0.000487700395586,BDL,NM,NM,NM
080724I,2008.0,Rabbit Creek,515070.67,4929553.6,75.1,8.835,2.771875e-05,0.00272185,BDL,1.467050055747902e-07,0.0044940079893475,0.000651085352975,0.0136144680553336,BDL,0.0002621370640155,BDL,BDL,0.0014432368421052,0.0075400211565585,BDL,8.244268121746094e-06,BDL,0.000289772017489,BDL,NM,NM,NM
080725U,2008.0,Rabbit Creek,515040.97,4929635.23,59.3,9.45,6.562500000000001e-05,0.0016492,BDL,9.242415351211784e-06,0.0054177762982689,0.0008413706126638,0.0166442003190636,BDL,0.0003440874040559,BDL,BDL,0.0016990263157894,0.0094180888575458,BDL,1.0274829795754907e-05,BDL,0.0002555251925879,BDL,NM,NM,NM
080725C,2008.0,Rabbit Creek,515167.0,4929546.06,83.7,8.89,1.446875e-05,0.00278055,1.790510295434199e-07,2.640690100346224e-07,0.0051098535286284,0.0007839927800028,0.0157361967269005,BDL,0.0002983312762703,BDL,BDL,0.0016349368421052,0.0089228039492242,BDL,8.654134961954346e-06,BDL,0.0002384728294815,BDL,NM,NM,NM
110710X,2011.0,Rabbit Creek,515181.8,4928380.81,91.0,4.745,2.8125e-05,0.00419172,2.6857654431512977e-06,8.802300334487413e-06,0.0042443408788282,6.87085470393315e-06,0.0012120926980171,9.057072414079824e-05,0.0005017694780463,BDL,2.64292863915365e-05,0.0001947368421052,2.538787023977433e-05,BDL,BDL,8.870266704728175e-07,0.0007880491359566,BDL,NM,NM,NM
140726SO,2014.0,GOPA,544478.91,4939776.12,50.9,6.122,6.875e-05,0.00252254,BDL,5.281380200692447e-07,0.0071737683089214,0.0004789151419103,0.0187784346593478,3.804046563192905e-06,0.0010662221886885,8.652540629500102e-06,0.0001995720844353,0.0009503934210526,0.0124976939351198,4.0756439517443754e-08,1.6287983079695633e-05,3.882757653024197e-07,0.0030585246200291,BDL,2.064709836640428e-06,4.286851876823751e-08,BDL
190725VG,2019.0,Calcite Springs,547659.73,4972992.38,91.6,7.375,5.9375e-07,0.00199768,1.2533572068039392e-06,9.682530367936152e-05,0.0043525299600532,0.0003110841377323,0.0087352726336658,0.0011344733924611,0.0024720253821777,0.0001218845916478,0.000330668072259,0.000212602368421,0.006616581100141,5.41245516791653e-08,1.0767733780536643e-05,3.315060583921593e-07,0.0019001842598376,0.0002556759192767,1.2760744496031358e-07,5.853471539913448e-09,1.0993626695131725e-07
230806SP,2023.0,Rabbit Creek,515163.73,4928493.39,84.3,6.168,1.7500000000000002e-05,0.00497874,BDL,7.95141130215363e-05,0.0028129161118508,1.298155885319118e-05,0.0021936742818077,4.749445676274945e-06,0.000297992112189,6.628265788932318e-07,1.7370128249912668e-05,0.0002621097368421,4.036163610719323e-05,1.0684708183893057e-06,BDL,1.5185896598494631e-06,BDL,2.240832503258876e-06,NM,NM,NM
230729SI,2023.0,Rabbit Creek,514756.0,4928884.0,85.3,7.98,6.875e-05,0.00577296,7.162041181736796e-07,3.931694149404378e-06,0.0032456724367509,0.000569592998127,0.0127009801620886,1.113359201773836e-06,0.0002961433105787,1.1956387574573132e-06,2.2779330305903485e-05,0.0010175947368421,0.0062152270803949,2.2606238452342133e-07,8.793427112535042e-06,5.985010862044773e-07,0.0001242668124089,6.652634372032001e-06,NM,NM,NM
990720C,1999.0,GOPA,544526.4,4939777.4,78.1,6.7,9.28125e-05,0.0023399999999999,7.162041181736796e-07,2.3472800891966437e-07,BDL,4.754358161648178e-05,0.0037929915694237,BDL,0.0006931247650153,0.0004690392923266,0.0007934527671041,0.0003263157894736,0.0026403385049365,BDL,1.2515018021625951e-06,2.435291404389008e-06,0.000560066625026,BDL,NM,NM,NM
990720F,1999.0,GOPA,544522.59,4939795.94,85.3,6.19,1.96875e-05,0.0007,3.2229185317815574e-06,7.04184026758993e-07,BDL,0.0002578879124045,0.0124403163859541,BDL,0.000943775049043,4.7315367208393335e-05,0.0001896302210689,0.0009263157894736,0.0077038081805359,BDL,6.132358830596716e-06,1.5966480068510716e-06,0.0019227566104518,BDL,NM,NM,NM
990723K,1999.0,GOPA,544478.91,4939776.12,49.6,5.23,0.0001875,0.00021,2.3276633840644587e-06,2.758054104806056e-06,BDL,0.000410603659415,0.0182646463302871,BDL,0.0010128317599486,8.763628882945896e-06,0.0001921253555566,0.0010473684210526,0.0112947813822284,BDL,1.0512615138165798e-05,1.5482647339161906e-06,0.0034926087861753,BDL,NM,NM,NM
990724D,1999.0,Sentinel Meadows,510304.24,4934468.46,79.1,6.69,NM,0.0015199999999999,BDL,1.7604600668974826e-08,BDL,0.0002017000432214,0.0094389813138183,BDL,0.0002122854446357,2.468627854350956e-06,BDL,0.0009368421052631,0.00724682651622,BDL,2.0024028834601524e-06,2.096608493844841e-06,0.0007901311680199,BDL,NM,NM,NM
990716A,1999.0,White Creek,516061.2252,4931216.571,88.1,7.88,5.53125e-05,0.00272,BDL,2.053870078047063e-07,BDL,0.0006195072756087,0.0125055628005657,BDL,0.0003683024581631,BDL,BDL,0.0012052631578947,0.0070014104372355,BDL,7.50901081297557e-06,BDL,0.0001863418696647,BDL,NM,NM,NM
000618B,2000.0,GOPA,544532.18,4939792.16,63.3,5.53,4.0625e-05,0.0002399999999999,2.5067144136078784e-06,1.3203450501731118e-06,0.0065745672436751,0.0002006915430053,0.0112376074766127,BDL,0.0008064800771389,7.780292120962765e-05,0.0001902290533459,0.0008502631578947,0.0070211565585331,BDL,2.8158790548658392e-06,8.999288765887858e-06,0.0022246512596293,BDL,NM,NM,NM
000621A,2000.0,GOPA,544549.57,4939842.7,60.0,5.82,4.0625e-05,0.00034,1.074306177260519e-06,4.694560178393287e-07,0.0073568575233022,0.0001956490419247,0.0109039808098985,BDL,0.0007803919863523,7.167249537132278e-05,0.0001846399520934,0.0009294210526315,0.0070606488011283,BDL,BDL,7.64455712371119e-06,0.0020200916094107,BDL,NM,NM,NM
000622A,2000.0,GOPA,544551.8,4939855.19,65.3,5.77,4.0625e-05,0.00043,4.834377797672336e-06,5.868200222991609e-07,0.0060752330226364,0.0001904624693848,0.0112376074766127,BDL,0.0007760695477808,6.932729890968937e-05,0.0001823444283646,0.0009878421052631,0.0078251057827926,BDL,6.507809371245496e-06,4.1932169876896826e-07,0.0022431813449927,BDL,NM,NM,NM
000623D,2000.0,GOPA,544522.8,4939808.38,62.1,6.05,5.625e-05,0.00062,7.162041181736796e-07,2.640690100346224e-07,0.0061418109187749,0.0002119291168419,0.0117508792715577,BDL,0.0008343073739778,7.24953713227731e-05,0.0001917760367283,0.0009964736842105,0.0074583921015514,BDL,8.472667200640771e-06,3.193296013702143e-06,0.0020748490526754,2.7797842297786493e-06,NM,NM,NM
000623E,2000.0,GOPA,544545.46,4939849.13,51.3,6.43,5.625e-05,0.0006,1.790510295434199e-07,2.3472800891966437e-07,0.0051764314247669,0.0002029966863564,0.0112106389585732,BDL,0.0007976050109595,7.191935815675787e-05,0.0001910773990718,0.0008985263157894,0.0075909732016925,BDL,1.4767721265518622e-05,1.1112025017377658e-05,0.0020868207370393,BDL,NM,NM,NM
000626C,2000.0,Sylvan Springs,518580.08,4949717.31,74.3,6.59,4.6875e-05,0.00259,1.790510295434199e-07,9.389120356786574e-06,0.0043109187749667,0.0004849445324881,0.016848364157117,BDL,0.0004077415130581,BDL,0.0001098108688058,0.0007778947368421,0.0095119887165021,BDL,4.004805766920305e-06,1.119266380560246e-05,0.0020462211118051,2.13222085806885e-05,NM,NM,NM
010725E,2001.0,GOPA,544529.55,4939791.76,85.5,6.4,6.6875e-06,0.0003019999999999,BDL,2.200575083621853e-06,0.0043941411451398,4.595879556259905e-05,0.0031105140725859,BDL,0.0004033423448078,6.829870397037646e-05,0.0002088427566245,BDL,0.0022679830747531,BDL,BDL,BDL,0.0011971684363939,BDL,NM,NM,NM
010725G,2001.0,GOPA,544533.06,4939789.45,75.8,6.8,1.83125e-05,0.00156,3.581020590868398e-07,2.200575083621853e-06,0.004077896138482,1.9118282668203428e-05,0.0015680888311665,BDL,0.0003524449912144,0.0002740176918329,0.0003692799041868,BDL,0.0006205923836389,BDL,BDL,BDL,0.0004788673745575,BDL,NM,NM,NM
010730V,2001.0,Sylvan Springs,518580.08,4949717.31,73.2,6.3,1.353125e-05,0.00218,BDL,1.437709054632944e-05,0.0050099866844207,0.0003512462181241,0.0124751144737469,0.0001396895787139,0.0003000130440453,BDL,5.41444183841509e-05,BDL,0.0093088857545839,BDL,BDL,BDL,0.0025921299188007,BDL,NM,NM,NM
010731A,2001.0,Sylvan Springs,518434.72,4949134.63,71.4,5.62,1.796875e-05,0.000432,BDL,6.455020245290769e-06,0.0029627163781624,BDL,0.0022135933597244,BDL,0.0002503945184317,1.0285949393128984e-05,0.0001215130495533,BDL,5.1339915373765865e-05,BDL,BDL,BDL,0.0014574224443056,BDL,NM,NM,NM
010801F,2001.0,Sylvan Springs,518394.97,4949122.73,90.5,6.9,4.9375e-06,0.00187,BDL,7.423273282084386e-06,0.0050765645805592,0.0001011381645296,0.0072467017828669,BDL,0.0002184238189384,BDL,8.857727431508557e-05,BDL,0.0054160789844851,BDL,BDL,BDL,0.0007203830938996,BDL,NM,NM,NM
010804K,2001.0,Sentinel Meadows,510712.48,4935155.26,83.3,7.7,1.978125e-05,0.0026999999999999,BDL,3.491579132680007e-06,0.0046937416777629,0.0002178360466791,0.0090475028261484,BDL,0.0001943818529194,BDL,BDL,BDL,0.0064033850493653,BDL,BDL,BDL,0.0001394961482406,BDL,NM,NM,NM
030727D,2003.0,GOPA,544532.72,4939788.99,79.0,5.65,1.246875e-05,0.0042899999999999,5.371530886302595e-07,1.291004049058154e-06,0.0039613848202396,2.753205589972626e-05,0.0025562501302209,BDL,0.0005560096815803,0.0003714516903243,0.0004793452767104,0.0003084315789473,0.0006976262341325,BDL,9.96821185422507e-07,BDL,0.0014520476785342,1.287756103416397e-06,NM,NM,NM
030728E,2003.0,GOPA,544478.91,4939776.12,66.7,5.02,5.9375e-05,0.0082,1.611459265890779e-06,6.161610234141189e-06,0.0072736351531291,0.000346107669404,0.0182254839823169,BDL,0.00099254954819,3.168072413083728e-06,0.0001921419897865,0.0009211315789473,0.0111712976022566,BDL,1.188300961153384e-05,BDL,0.0027704247345409,0.0007398069313498,NM,NM,NM
030728F,2003.0,GOPA,544551.8,4939855.19,61.7,5.06,8.125e-05,0.00029,4.655326768128917e-06,5.721495217416818e-06,0.0065246338215712,0.0002146472650434,0.0134896382241451,BDL,0.0009539647503855,6.031955016114668e-05,0.0001907530315884,0.0008559368421052,0.0081693483779971,BDL,1.1150881057268724e-05,BDL,0.0024944617947116,8.842662106697385e-06,NM,NM,NM
030728G,2003.0,GOPA,544549.57,4939842.7,80.5,5.09,0.000103125,0.000248,3.581020590868398e-07,3.491579132680007e-06,0.0061750998668442,0.0001502665321999,0.0131653780427284,BDL,0.0008798762776557,2.4562847150792017e-05,0.0001424305936756,0.0008676315789473,0.0079598871650211,BDL,8.172306768121746e-06,BDL,0.0024191651051426,1.0750604918954548e-05,NM,NM,NM
030728H,2003.0,GOPA,544522.8,4939808.38,61.9,5.54,6.25e-05,0.000411,1.2533572068039392e-06,2.9341001114958046e-08,0.0085552596537949,0.0001634058493012,0.0104243384669647,8.486326681448613e-05,0.0008270743229245,0.0001477501200027,0.0002835670442636,0.0006716684210526,0.0061529252468265,BDL,6.625450540648778e-06,BDL,0.0021278076202373,BDL,NM,NM,NM
030729M,2003.0,GOPA,544535.27,4939779.47,82.4,5.15,NM,0.000133,3.115487914055506e-05,BDL,0.0031624500665778,3.828458915622144e-05,0.0027712588151712,9.212860310421286e-05,0.0006169645909583,0.0002989727765206,0.0007306901541993,0.0002077210526315,0.0008581664315937,BDL,BDL,BDL,0.0020791713512388,BDL,NM,NM,NM
030729N,2003.0,GOPA,544532.18,4939792.16,56.7,5.26,8.125e-05,0.000337,1.969561324977619e-06,1.8191420691273987e-06,0.0067743009320905,0.0002160207462901,0.0135343131691898,BDL,0.0009504692872409,5.73133100185147e-05,0.0001944308598233,0.000845447368421,0.0081376473906911,BDL,9.119693632358833e-06,BDL,0.0024096335623568,6.846271614401809e-06,NM,NM,NM
030801T,2003.0,Sylvan Springs,518350.0,4949524.0,82.4,5.48,2.221875e-05,0.0004799999999999,8.952551477170994e-07,1.4435772548559357e-05,0.0102746338215712,0.0007536858281707,0.0188346245091313,0.0001688839615668,0.0012809423086596,1.7143248988548324e-06,0.0001121895636841,0.0009021315789473,0.0149287023977432,BDL,1.6563626351621946e-05,BDL,0.0012825369560691,0.0011383427010657,NM,NM,NM
030801U,2003.0,Sylvan Springs,518440.07,4949577.98,84.4,5.46,1.528125e-05,0.00034,7.162041181736796e-07,7.892729299923713e-06,0.0075099866844207,0.0007081112231666,0.0192870576472516,0.0002896156688839,0.0006781454266127,1.4263183158472206e-06,0.0001453166325664,0.0008526842105263,0.0151013822284908,BDL,1.6795154185022027e-05,BDL,0.0014973193837185,0.0007813615467393,NM,NM,NM
030806S,2003.0,Sylvan Springs,518588.98,4949645.21,77.2,5.39,NM,0.000143,BDL,9.371515756117596e-05,0.0057107190412782,0.0002745137588243,0.0113189480068286,0.0004237176644493,0.0004834771162258,1.593362133991635e-05,0.0001230184473609,0.0004132947368421,0.0076003159379407,BDL,1.0297356828193832e-05,BDL,0.0016292744118259,0.0005127333070798,NM,NM,NM
030806T,2003.0,Sylvan Springs,518443.97,4949568.6,68.0,4.95,1.053125e-05,7.999999999999999e-05,2.148612354521038e-06,6.220292236371105e-06,0.0059287616511318,0.0006895260048984,0.0188157175480971,0.0002968773096821,0.0006638566553192,BDL,0.0001239333300064,0.0008202894736842,0.0148916361071932,BDL,1.8159291149379257e-05,BDL,0.002022272537997,3.52843066438949e-05,NM,NM,NM
030805K,2003.0,Sentinel Meadows,510689.0,4935142.0,91.1,4.7,4.3437500000000006e-06,4e-05,1.289167412712623e-05,3.344874127105217e-06,0.004888482023968,0.0001421985304711,0.0079983114807866,0.0001980561714708,0.0001905760608517,1.873139957484744e-05,4.137265665286017e-05,0.0005518105263157,0.0038078787023977,BDL,4.380256307569083e-06,BDL,0.0019416926920674,1.1421333159245837e-05,NM,NM,NM
030805N,2003.0,Sentinel Meadows,511117.0,4934622.0,93.3,8.65,3.8125e-06,0.00246,1.790510295434199e-07,4.254445161668916e-05,0.0066611185086551,0.0001726456322335,0.0134617997539108,BDL,0.0002446568435626,BDL,3.301894638787689e-05,0.0013217631578947,0.0066002538787023,BDL,4.643071686023229e-06,BDL,0.0001312408911097,2.8740231269624324e-05,NM,NM,NM
030805O,2003.0,Sentinel Meadows,511117.0,4934622.0,79.9,8.82,NM,0.00229,BDL,BDL,0.0052047270306258,0.0001603035105412,0.0137726916699337,BDL,0.0002426533463944,BDL,2.891029159805055e-05,0.0013579210526315,0.0068011424541607,BDL,8.572787344813777e-06,BDL,0.0001594836560483,1.5041370349389396e-05,NM,NM,NM
030805P,2003.0,Sentinel Meadows,510836.0,4935026.0,75.3,8.2,NM,0.002975,BDL,7.04184026758993e-07,0.0058122503328894,0.0002408682706622,0.0132919183891466,BDL,0.0002574178416964,BDL,1.8088061613187632e-05,0.0011867894736842,0.0062235232722143,BDL,9.145975170204246e-06,BDL,0.0001597366229439,5.177348127962734e-06,NM,NM,NM
030807W,2003.0,White Creek,516162.968,4931017.719,77.8,8.48,1.74375e-05,0.00228,BDL,1.7604600668974828e-07,0.0046621171770972,0.00042227344763,0.0137200885605534,BDL,0.0003533486963201,BDL,3.975580950479889e-05,0.0011288157894736,0.0069670380818053,BDL,9.742941529835804e-06,BDL,0.0001910004164064,BDL,NM,NM,NM
030808A,2003.0,Imperial Geyser Basin,511833.54,4933023.48,85.6,8.81,6e-06,0.0025599999999999,8.057296329453894e-06,2.053870078047063e-05,0.0054111185086551,0.0004048408010373,0.0174952751083898,BDL,0.0004137008514436,BDL,3.562220337009506e-05,0.001572447368421,0.0087211424541607,BDL,1.0568932719263117e-05,BDL,0.0002215178013741,4.697203579182786e-05,NM,NM,NM
030808B,2003.0,Imperial Geyser Basin,512389.01,4933949.14,78.3,8.58,6.46875e-06,0.00219,BDL,5.1053341940026994e-05,0.0039780292942743,0.0002837247274648,0.0143687829138257,BDL,0.0002090713236466,BDL,4.2026381888650376e-05,0.0015207894736842,0.0080431452750352,BDL,9.254855826992392e-06,BDL,0.0001688423901728,5.360034705184929e-05,NM,NM,NM
030808C,2003.0,Imperial Geyser Basin,512389.01,4933949.14,67.9,8.76,4.6875e-05,0.0022099999999999,1.790510295434199e-07,1.5990845607652132e-05,0.0062949400798934,0.0002498679344955,0.0147915361828994,BDL,0.0001809626846521,BDL,3.0906399188249654e-05,0.0015635526315789,0.0082679548660084,BDL,1.129480376451742e-05,BDL,0.0001935613158442,2.952994269853872e-05,NM,NM,NM
030808D,2003.0,Imperial Geyser Basin,512382.33,4933938.33,86.4,6.76,9.46875e-06,0.0011899999999999,1.790510295434199e-07,4.2544451616689164e-06,0.0028012649800266,0.000235998655333,0.0111222228171728,8.806725794530655e-05,0.0004002816831763,1.0850990879791524e-05,6.238335246269774e-05,0.0011780315789473,0.0069374019746121,BDL,7.819383259911894e-06,BDL,0.0003555788049135,4.843774020389297e-05,NM,NM,NM
040709C,2004.0,GOPA,544549.57,4939842.7,84.5,4.979,1.415625e-05,8.4e-05,7.878245299910475e-06,2.288598086966727e-06,0.0058272303595206,7.491715891081978e-05,0.0139157553083721,BDL,0.0006665251430369,BDL,BDL,0.0009649684210526,0.0077413822284908,BDL,9.85182218662395e-06,BDL,0.0026398126171143,9.440736895528547e-06,NM,NM,NM
040709G,2004.0,GOPA,544551.8,4939855.19,59.6,5.219,3.125e-05,0.000196,5.550581915846016e-06,8.039434305498505e-06,0.0059320905459387,9.796859242184125e-05,0.0157861525272394,BDL,0.0007672967878398,BDL,BDL,0.0010461368421052,0.0083415853314527,BDL,1.0772927513015618e-05,BDL,0.0027195211326254,BDL,NM,NM,NM
040716Q,2004.0,GOPA,544531.47,4939784.44,90.9,6.049,1.875e-05,0.00047,2.148612354521038e-06,1.8484830702423568e-06,0.0042243675099866,BDL,0.0026720581663956,BDL,0.0004854431011066,0.0002692861551121,0.0003854982783572,0.0003460657894736,0.0008519661495063,BDL,1.1426211453744496e-06,BDL,0.0015122860712054,1.7015648921675366e-06,NM,NM,NM
040716R,2004.0,GOPA,544522.8,4939808.38,59.6,5.684,2.8125e-05,0.0003199999999999,8.415398388540734e-06,4.225104160553957e-06,0.0055892143808255,0.000105172165394,0.009769998123948,BDL,0.0007277810032661,8.434478502365767e-05,0.0002063476221368,0.0007778,0.0053523568406205,BDL,7.774954945935121e-06,BDL,0.0022357047678534,4.229167938979525e-06,NM,NM,NM
040716T,2004.0,GOPA,544522.59,4939795.94,73.1,5.58,1.5375e-05,0.00034,1.7905102954341989e-06,3.90235314828942e-06,0.0068858189081225,9.796859242184125e-05,0.0136956574030822,BDL,0.0006900555778639,BDL,BDL,0.0010066947368421,0.0080291509167842,BDL,1.0094613536243491e-05,BDL,0.0024601457422444,1.5503614772447285e-05,NM,NM,NM
040720K,2004.0,GOPA,544532.72,4939788.99,80.2,6.02,NM,0.00045,2.3276633840644587e-06,8.508890323337833e-06,0.00521637816245,BDL,0.0025235138291298,BDL,0.0003979712672929,0.0001296029623534,0.000168421577923,0.0002977842105263,0.0008196473906911,BDL,1.1520074088906688e-06,BDL,0.0010490422652508,0.0002045900134145,NM,NM,NM
040710I,2004.0,Sylvan Springs,518350.0,4949524.0,81.7,5.511,1.29375e-05,0.0005029999999999,5.371530886302595e-07,3.696966140484713e-06,0.0105942077230359,0.0004610286702204,0.0193433870518664,BDL,0.0007314896044073,BDL,BDL,0.0010173157894736,0.0153729760225669,BDL,1.70704845814978e-05,BDL,0.0017714345200916,3.913809841699712e-05,NM,NM,NM
040710K,2004.0,Sylvan Springs,518440.07,4949577.98,82.6,5.675,1.29375e-05,0.0002769999999999,1.790510295434199e-07,5.809518220761692e-06,0.0076031957390146,0.0001728857513326,0.017703527164627,BDL,1.5345935756797606e-05,BDL,BDL,0.0009556842105263,0.0153308885754583,BDL,1.720814977973568e-05,BDL,0.0015195294607536,0.0006579138561714,NM,NM,NM
040718Y,2004.0,Sylvan Springs,518350.0,4949524.0,81.3,5.668,1.7e-05,0.0003199999999999,3.581020590868398e-07,1.0269350390235314e-05,0.0101048601864181,0.0004610286702204,0.0195739243834942,BDL,0.0007545085080425,BDL,BDL,0.0010215789473684,0.0154629337094499,BDL,1.9686123348017622e-05,BDL,0.0018602019571101,8.397264860789668e-05,NM,NM,NM
040721O,2004.0,Sylvan Springs,518394.97,4949122.73,89.6,6.635,2.5e-05,0.00172,BDL,6.836453259785225e-06,0.0056141810918774,BDL,0.0089631174632507,BDL,7.212589805694877e-05,BDL,BDL,0.0007684105263157,0.0054965980253878,BDL,7.0684821786143374e-06,BDL,0.0008361794711638,1.905415735684638e-05,NM,NM,NM
040721Q,2004.0,Sylvan Springs,518408.75,4949163.66,85.0,6.0,2.5e-06,0.00084,BDL,3.344874127105217e-06,0.0059553928095872,BDL,0.0094346315528442,BDL,0.0001503901704166,BDL,BDL,0.0006744526315789,0.0041883046544428,BDL,5.65678814577493e-06,BDL,0.0016788944409743,4.440284127642637e-05,NM,NM,NM
040721R,2004.0,Sylvan Springs,518434.72,4949134.63,80.8,5.301,1.4625e-05,0.0002299999999999,2.148612354521038e-06,6.014905228566399e-06,0.0039464047936085,BDL,0.0030676689269909,BDL,0.0003030822311967,BDL,7.398073756175457e-05,0.0003486315789473,5.3763046544428766e-05,BDL,BDL,BDL,0.0016901806162814,2.2010836946701845e-05,NM,NM,NM
040711P,2004.0,Sentinel Meadows,510836.0,4935026.0,92.5,8.123,6.59375e-06,0.00247,3.581020590868398e-07,5.897541224106566e-06,0.0059204394141145,0.0001094943091773,0.0130719016793948,BDL,6.39413989866567e-05,BDL,BDL,0.0013806947368421,0.0061370832157968,BDL,8.402583099719663e-06,BDL,0.0001780678742452,1.733153349324112e-05,NM,NM,NM
